,filenames,split,group
149,COCO_train2014_000000033841,test,0
150,COCO_train2014_000000034063,train,0
151,COCO_train2014_000000034478,train,0
152,COCO_train2014_000000034551,test,0
153,COCO_train2014_000000034793,train,0
154,COCO_train2014_000000034882,valid,0
155,COCO_train2014_000000035093,train,0
156,COCO_train2014_000000035256,train,0
157,COCO_train2014_000000035643,valid,0
158,COCO_train2014_000000035663,train,0
159,COCO_train2014_000000035717,train,0
160,COCO_train2014_000000035783,train,0
161,COCO_train2014_000000036157,train,0
162,COCO_train2014_000000036725,train,0
163,COCO_train2014_000000036783,test,0
164,COCO_train2014_000000036950,train,0
165,COCO_train2014_000000037012,train,0
166,COCO_train2014_000000037323,test,0
167,COCO_train2014_000000037548,valid,0
168,COCO_train2014_000000037579,train,0
169,COCO_train2014_000000037932,train,0
170,COCO_train2014_000000038026,train,0
171,COCO_train2014_000000038389,train,0
172,COCO_train2014_000000038552,train,0
173,COCO_train2014_000000038589,train,0
174,COCO_train2014_000000039000,train,0
175,COCO_train2014_000000039012,test,0
176,COCO_train2014_000000039016,train,0
177,COCO_train2014_000000039464,test,0
178,COCO_train2014_000000039778,test,0
179,COCO_train2014_000000039888,train,0
180,COCO_train2014_000000040072,train,0
181,COCO_train2014_000000040855,train,0
182,COCO_train2014_000000040912,valid,0
183,COCO_train2014_000000041105,train,0
184,COCO_train2014_000000041231,valid,0
185,COCO_train2014_000000041459,train,0
186,COCO_train2014_000000041673,train,0
187,COCO_train2014_000000041713,train,0
188,COCO_train2014_000000041742,train,0
189,COCO_train2014_000000041802,test,0
190,COCO_train2014_000000041895,train,0
191,COCO_train2014_000000041984,valid,0
192,COCO_train2014_000000042057,test,0
193,COCO_train2014_000000042060,train,0
194,COCO_train2014_000000042404,train,0
195,COCO_train2014_000000042415,train,0
196,COCO_train2014_000000042418,train,0
197,COCO_train2014_000000042659,train,0
198,COCO_train2014_000000042701,train,0
199,COCO_train2014_000000042760,train,0
200,COCO_train2014_000000042855,train,0
201,COCO_train2014_000000043206,train,0
202,COCO_train2014_000000043308,test,0
203,COCO_train2014_000000044958,train,0
204,COCO_train2014_000000045128,train,0
205,COCO_train2014_000000045464,test,0
206,COCO_train2014_000000045492,train,0
207,COCO_train2014_000000045677,train,0
208,COCO_train2014_000000045828,train,0
209,COCO_train2014_000000046152,train,0
210,COCO_train2014_000000046372,train,0
211,COCO_train2014_000000046634,train,0
212,COCO_train2014_000000046737,train,0
213,COCO_train2014_000000047643,train,0
214,COCO_train2014_000000047725,valid,0
215,COCO_train2014_000000047857,train,0
216,COCO_train2014_000000048047,test,0
217,COCO_train2014_000000048287,test,0
218,COCO_train2014_000000048824,train,0
219,COCO_train2014_000000049065,train,0
220,COCO_train2014_000000049240,test,0
221,COCO_train2014_000000049460,train,0
222,COCO_train2014_000000050246,test,0
223,COCO_train2014_000000050256,train,0
224,COCO_train2014_000000050263,train,0
225,COCO_train2014_000000050750,train,0
226,COCO_train2014_000000051168,train,0
227,COCO_train2014_000000051493,train,0
228,COCO_train2014_000000051501,train,0
229,COCO_train2014_000000051504,train,0
230,COCO_train2014_000000051704,train,0
231,COCO_train2014_000000052516,train,0
232,COCO_train2014_000000052629,train,0
233,COCO_train2014_000000053330,train,0
234,COCO_train2014_000000053591,train,0
235,COCO_train2014_000000053601,train,0
236,COCO_train2014_000000053662,train,0
237,COCO_train2014_000000053803,train,0
238,COCO_train2014_000000053913,train,0
239,COCO_train2014_000000053999,train,0
240,COCO_train2014_000000054262,train,0
241,COCO_train2014_000000054837,train,0
242,COCO_train2014_000000055608,train,0
243,COCO_train2014_000000055681,train,0
244,COCO_train2014_000000055809,test,0
245,COCO_train2014_000000055903,test,0
246,COCO_train2014_000000056049,train,0
247,COCO_train2014_000000056641,train,0
248,COCO_train2014_000000056668,train,0
249,COCO_train2014_000000056800,train,0
250,COCO_train2014_000000056845,train,0
251,COCO_train2014_000000057173,train,0
252,COCO_train2014_000000057631,train,0
253,COCO_train2014_000000057767,train,0
254,COCO_train2014_000000058239,valid,0
255,COCO_train2014_000000058640,train,0
256,COCO_train2014_000000058654,valid,0
257,COCO_train2014_000000058841,train,0
258,COCO_train2014_000000059012,train,0
259,COCO_train2014_000000059278,train,0
260,COCO_train2014_000000059321,test,0
261,COCO_train2014_000000059442,train,0
262,COCO_train2014_000000059934,train,0
263,COCO_train2014_000000060158,train,0
264,COCO_train2014_000000060568,valid,0
265,COCO_train2014_000000060678,train,0
266,COCO_train2014_000000060812,train,0
267,COCO_train2014_000000061326,valid,0
268,COCO_train2014_000000061395,train,0
269,COCO_train2014_000000061403,valid,0
270,COCO_train2014_000000061809,test,0
271,COCO_train2014_000000062030,valid,0
272,COCO_train2014_000000062464,train,0
273,COCO_train2014_000000062478,valid,0
274,COCO_train2014_000000062589,train,0
275,COCO_train2014_000000062740,train,0
276,COCO_train2014_000000062896,valid,0
277,COCO_train2014_000000062929,train,0
278,COCO_train2014_000000062958,train,0
279,COCO_train2014_000000063140,train,0
280,COCO_train2014_000000063321,train,0
281,COCO_train2014_000000063556,train,0
282,COCO_train2014_000000064251,train,0
283,COCO_train2014_000000064256,train,0
284,COCO_train2014_000000064303,train,0
285,COCO_train2014_000000065072,train,0
286,COCO_train2014_000000065198,train,0
287,COCO_train2014_000000065262,train,0
288,COCO_train2014_000000065456,valid,0
289,COCO_train2014_000000065488,train,0
290,COCO_train2014_000000065582,train,0
291,COCO_train2014_000000065869,train,0
292,COCO_train2014_000000065962,train,0
293,COCO_train2014_000000066236,train,0
294,COCO_train2014_000000066487,valid,0
295,COCO_train2014_000000066808,train,0
296,COCO_train2014_000000066878,train,0
297,COCO_train2014_000000067082,train,0
298,COCO_train2014_000000067084,train,0
299,COCO_train2014_000000067623,train,0
300,COCO_train2014_000000067742,train,0
301,COCO_train2014_000000068041,train,0
302,COCO_train2014_000000068763,train,0
303,COCO_train2014_000000068797,train,0
304,COCO_train2014_000000069562,train,0
305,COCO_train2014_000000069572,train,0
306,COCO_train2014_000000069705,train,0
307,COCO_train2014_000000070265,train,0
308,COCO_train2014_000000070333,train,0
309,COCO_train2014_000000070642,valid,0
310,COCO_train2014_000000070854,test,0
311,COCO_train2014_000000071182,train,0
312,COCO_train2014_000000071223,train,0
313,COCO_train2014_000000071313,train,0
314,COCO_train2014_000000071344,train,0
315,COCO_train2014_000000071440,test,0
316,COCO_train2014_000000071441,train,0
317,COCO_train2014_000000071492,train,0
318,COCO_train2014_000000071502,valid,0
319,COCO_train2014_000000071558,train,0
320,COCO_train2014_000000071828,train,0
321,COCO_train2014_000000072026,train,0
322,COCO_train2014_000000072189,train,0
323,COCO_train2014_000000072373,train,0
324,COCO_train2014_000000072435,test,0
325,COCO_train2014_000000072453,train,0
326,COCO_train2014_000000072564,train,0
327,COCO_train2014_000000072580,test,0
328,COCO_train2014_000000072602,train,0
329,COCO_train2014_000000072606,train,0
330,COCO_train2014_000000073195,train,0
331,COCO_train2014_000000073293,train,0
332,COCO_train2014_000000073442,train,0
333,COCO_train2014_000000073826,train,0
334,COCO_train2014_000000073889,train,0
335,COCO_train2014_000000073997,train,0
336,COCO_train2014_000000074032,train,0
337,COCO_train2014_000000074060,train,0
338,COCO_train2014_000000074215,train,0
339,COCO_train2014_000000074328,train,0
340,COCO_train2014_000000074354,train,0
341,COCO_train2014_000000074466,test,0
342,COCO_train2014_000000074554,train,0
343,COCO_train2014_000000074838,train,0
344,COCO_train2014_000000074925,train,0
345,COCO_train2014_000000075818,test,0
346,COCO_train2014_000000075882,train,0
347,COCO_train2014_000000075898,train,0
348,COCO_train2014_000000075902,train,0
349,COCO_train2014_000000076028,train,0
350,COCO_train2014_000000076245,train,0
351,COCO_train2014_000000076636,train,0
352,COCO_train2014_000000076893,train,0
353,COCO_train2014_000000076985,valid,0
354,COCO_train2014_000000077055,train,0
355,COCO_train2014_000000077874,test,0
356,COCO_train2014_000000078077,train,0
357,COCO_train2014_000000079069,train,0
358,COCO_train2014_000000079262,test,0
359,COCO_train2014_000000079610,train,0
360,COCO_train2014_000000079720,train,0
361,COCO_train2014_000000079808,train,0
362,COCO_train2014_000000080208,test,0
363,COCO_train2014_000000080231,train,0
364,COCO_train2014_000000080275,train,0
365,COCO_train2014_000000080363,train,0
366,COCO_train2014_000000080431,test,0
367,COCO_train2014_000000080481,train,0
368,COCO_train2014_000000081084,train,0
369,COCO_train2014_000000081556,train,0
370,COCO_train2014_000000081611,train,0
371,COCO_train2014_000000081819,train,0
372,COCO_train2014_000000082039,valid,0
373,COCO_train2014_000000082191,train,0
374,COCO_train2014_000000082744,train,0
375,COCO_train2014_000000082881,train,0
376,COCO_train2014_000000083033,train,0
377,COCO_train2014_000000083801,train,0
378,COCO_train2014_000000084162,train,0
379,COCO_train2014_000000084819,train,0
380,COCO_train2014_000000084875,valid,0
381,COCO_train2014_000000085018,train,0
382,COCO_train2014_000000085035,train,0
383,COCO_train2014_000000085114,train,0
384,COCO_train2014_000000085339,train,0
385,COCO_train2014_000000085549,train,0
386,COCO_train2014_000000085974,test,0
387,COCO_train2014_000000086393,test,0
388,COCO_train2014_000000086452,train,0
389,COCO_train2014_000000087017,train,0
390,COCO_train2014_000000087208,train,0
391,COCO_train2014_000000087555,train,0
392,COCO_train2014_000000087812,valid,0
393,COCO_train2014_000000087933,train,0
394,COCO_train2014_000000088165,train,0
395,COCO_train2014_000000088401,train,0
396,COCO_train2014_000000088768,train,0
397,COCO_train2014_000000089340,valid,0
398,COCO_train2014_000000089563,train,0
399,COCO_train2014_000000090145,train,0
400,COCO_train2014_000000090293,train,0
401,COCO_train2014_000000090566,train,0
402,COCO_train2014_000000090862,train,0
403,COCO_train2014_000000091023,test,0
404,COCO_train2014_000000091681,train,0
405,COCO_train2014_000000091697,train,0
406,COCO_train2014_000000091759,train,0
407,COCO_train2014_000000091973,valid,0
408,COCO_train2014_000000091989,valid,0
409,COCO_train2014_000000092066,train,0
410,COCO_train2014_000000092096,train,0
411,COCO_train2014_000000092444,test,0
412,COCO_train2014_000000092746,train,0
413,COCO_train2014_000000092975,train,0
414,COCO_train2014_000000093424,train,0
415,COCO_train2014_000000093922,test,0
416,COCO_train2014_000000094350,train,0
417,COCO_train2014_000000094535,train,0
418,COCO_train2014_000000094842,train,0
419,COCO_train2014_000000094949,train,0
420,COCO_train2014_000000094996,test,0
421,COCO_train2014_000000095903,train,0
422,COCO_train2014_000000096250,train,0
423,COCO_train2014_000000096586,train,0
424,COCO_train2014_000000096640,train,0
425,COCO_train2014_000000097369,train,0
426,COCO_train2014_000000097564,test,0
427,COCO_train2014_000000097685,test,0
428,COCO_train2014_000000097747,train,0
429,COCO_train2014_000000097825,valid,0
430,COCO_train2014_000000098038,train,0
431,COCO_train2014_000000098279,train,0
432,COCO_train2014_000000098318,train,0
433,COCO_train2014_000000098495,valid,0
434,COCO_train2014_000000098529,valid,0
435,COCO_train2014_000000098720,train,0
436,COCO_train2014_000000099135,train,0
437,COCO_train2014_000000099229,train,0
438,COCO_train2014_000000099313,train,0
439,COCO_train2014_000000099536,train,0
440,COCO_train2014_000000099548,valid,0
441,COCO_train2014_000000099628,train,0
442,COCO_train2014_000000100226,train,0
443,COCO_train2014_000000100253,train,0
444,COCO_train2014_000000100277,train,0
445,COCO_train2014_000000100581,train,0
446,COCO_train2014_000000100821,train,0
447,COCO_train2014_000000101033,test,0
448,COCO_train2014_000000101411,train,0
449,COCO_train2014_000000101807,train,0
450,COCO_train2014_000000101832,train,0
451,COCO_train2014_000000102225,train,0
452,COCO_train2014_000000102288,train,0
453,COCO_train2014_000000102300,test,0
454,COCO_train2014_000000102383,train,0
455,COCO_train2014_000000102704,train,0
456,COCO_train2014_000000102815,train,0
457,COCO_train2014_000000103341,train,0
458,COCO_train2014_000000103403,train,0
459,COCO_train2014_000000103404,train,0
460,COCO_train2014_000000103881,test,0
461,COCO_train2014_000000104149,valid,0
462,COCO_train2014_000000104290,train,0
463,COCO_train2014_000000104330,train,0
464,COCO_train2014_000000104788,valid,0
465,COCO_train2014_000000104811,test,0
466,COCO_train2014_000000104846,valid,0
467,COCO_train2014_000000105079,train,0
468,COCO_train2014_000000105172,train,0
469,COCO_train2014_000000105469,train,0
470,COCO_train2014_000000105592,test,0
471,COCO_train2014_000000105714,train,0
472,COCO_train2014_000000105817,train,0
473,COCO_train2014_000000106067,train,0
474,COCO_train2014_000000106168,train,0
475,COCO_train2014_000000106202,train,0
476,COCO_train2014_000000106296,train,0
477,COCO_train2014_000000106419,valid,0
478,COCO_train2014_000000107495,valid,0
479,COCO_train2014_000000107535,train,0
480,COCO_train2014_000000107593,train,0
481,COCO_train2014_000000107609,train,0
482,COCO_train2014_000000107935,train,0
483,COCO_train2014_000000108020,valid,0
484,COCO_train2014_000000108697,valid,0
485,COCO_train2014_000000108718,train,0
486,COCO_train2014_000000108769,train,0
487,COCO_train2014_000000109174,train,0
488,COCO_train2014_000000109506,train,0
489,COCO_train2014_000000109654,train,0
490,COCO_train2014_000000110006,train,0
491,COCO_train2014_000000110046,train,0
492,COCO_train2014_000000110159,train,0
493,COCO_train2014_000000110581,train,0
494,COCO_train2014_000000110603,train,0
495,COCO_train2014_000000110673,train,0
496,COCO_train2014_000000110707,train,0
497,COCO_train2014_000000110819,train,0
498,COCO_train2014_000000111319,train,0
499,COCO_train2014_000000111489,test,0
500,COCO_train2014_000000111492,valid,0
501,COCO_train2014_000000111591,train,0
502,COCO_train2014_000000111636,train,0
503,COCO_train2014_000000112122,train,0
504,COCO_train2014_000000112605,train,0
505,COCO_train2014_000000112614,train,0
506,COCO_train2014_000000112726,test,0
507,COCO_train2014_000000113144,train,0
508,COCO_train2014_000000113593,test,0
509,COCO_train2014_000000113787,train,0
510,COCO_train2014_000000113944,train,0
511,COCO_train2014_000000114403,train,0
512,COCO_train2014_000000114424,test,0
513,COCO_train2014_000000114515,train,0
514,COCO_train2014_000000114648,train,0
515,COCO_train2014_000000115071,test,0
516,COCO_train2014_000000115319,train,0
517,COCO_train2014_000000115355,train,0
518,COCO_train2014_000000115959,valid,0
519,COCO_train2014_000000116043,train,0
520,COCO_train2014_000000116592,valid,0
521,COCO_train2014_000000117114,train,0
522,COCO_train2014_000000117371,train,0
523,COCO_train2014_000000117644,train,0
524,COCO_train2014_000000117770,train,0
525,COCO_train2014_000000117965,train,0
526,COCO_train2014_000000118330,train,0
527,COCO_train2014_000000118724,train,0
528,COCO_train2014_000000118742,train,0
529,COCO_train2014_000000119006,train,0
530,COCO_train2014_000000119529,train,0
531,COCO_train2014_000000119540,train,0
532,COCO_train2014_000000119750,train,0
533,COCO_train2014_000000119799,train,0
534,COCO_train2014_000000119808,train,0
535,COCO_train2014_000000119938,test,0
536,COCO_train2014_000000120414,train,0
537,COCO_train2014_000000120462,train,0
538,COCO_train2014_000000120520,train,0
539,COCO_train2014_000000120676,valid,0
540,COCO_train2014_000000120703,test,0
541,COCO_train2014_000000121333,train,0
542,COCO_train2014_000000121344,train,0
543,COCO_train2014_000000121365,test,0
544,COCO_train2014_000000121461,train,0
545,COCO_train2014_000000121666,train,0
546,COCO_train2014_000000121778,train,0
547,COCO_train2014_000000121779,valid,0
548,COCO_train2014_000000121785,valid,0
549,COCO_train2014_000000121920,valid,0
550,COCO_train2014_000000121997,valid,0
551,COCO_train2014_000000122355,train,0
552,COCO_train2014_000000122403,train,0
553,COCO_train2014_000000122415,train,0
554,COCO_train2014_000000123378,train,0
555,COCO_train2014_000000123568,train,0
556,COCO_train2014_000000123891,train,0
557,COCO_train2014_000000124167,train,0
558,COCO_train2014_000000124178,train,0
559,COCO_train2014_000000124737,train,0
560,COCO_train2014_000000124893,train,0
561,COCO_train2014_000000124934,train,0
562,COCO_train2014_000000125193,train,0
563,COCO_train2014_000000125273,train,0
564,COCO_train2014_000000125335,train,0
565,COCO_train2014_000000125377,test,0
566,COCO_train2014_000000125699,train,0
567,COCO_train2014_000000125725,train,0
568,COCO_train2014_000000126281,train,0
569,COCO_train2014_000000126607,train,0
570,COCO_train2014_000000126608,train,0
571,COCO_train2014_000000126647,train,0
572,COCO_train2014_000000127377,train,0
573,COCO_train2014_000000127406,train,0
574,COCO_train2014_000000127424,train,0
575,COCO_train2014_000000128102,train,0
576,COCO_train2014_000000128203,train,0
577,COCO_train2014_000000128312,train,0
578,COCO_train2014_000000128763,train,0
579,COCO_train2014_000000129059,train,0
580,COCO_train2014_000000129129,train,0
581,COCO_train2014_000000129133,train,0
582,COCO_train2014_000000129485,train,0
583,COCO_train2014_000000129781,train,0
584,COCO_train2014_000000130440,train,0
585,COCO_train2014_000000130681,train,0
586,COCO_train2014_000000130967,train,0
587,COCO_train2014_000000131031,train,0
588,COCO_train2014_000000131534,train,0
589,COCO_train2014_000000131674,train,0
590,COCO_train2014_000000131967,train,0
591,COCO_train2014_000000132015,train,0
592,COCO_train2014_000000132752,train,0
593,COCO_train2014_000000132997,train,0
594,COCO_train2014_000000133145,train,0
595,COCO_train2014_000000133490,train,0
596,COCO_train2014_000000134590,train,0
597,COCO_train2014_000000134606,train,0
598,COCO_train2014_000000134685,train,0
599,COCO_train2014_000000135263,train,0
600,COCO_train2014_000000135463,train,0
601,COCO_train2014_000000136015,train,0
602,COCO_train2014_000000136202,train,0
603,COCO_train2014_000000136265,valid,0
604,COCO_train2014_000000136369,train,0
605,COCO_train2014_000000136461,train,0
606,COCO_train2014_000000137281,test,0
607,COCO_train2014_000000137583,train,0
608,COCO_train2014_000000137609,train,0
609,COCO_train2014_000000137711,train,0
610,COCO_train2014_000000137767,train,0
611,COCO_train2014_000000138081,train,0
612,COCO_train2014_000000138137,valid,0
613,COCO_train2014_000000138254,test,0
614,COCO_train2014_000000138618,train,0
615,COCO_train2014_000000138982,train,0
616,COCO_train2014_000000139166,train,0
617,COCO_train2014_000000139198,test,0
618,COCO_train2014_000000139796,train,0
619,COCO_train2014_000000140204,train,0
620,COCO_train2014_000000140543,train,0
621,COCO_train2014_000000140946,train,0
622,COCO_train2014_000000141051,train,0
623,COCO_train2014_000000141348,train,0
624,COCO_train2014_000000141429,test,0
625,COCO_train2014_000000141566,train,0
626,COCO_train2014_000000141996,train,0
627,COCO_train2014_000000142014,train,0
628,COCO_train2014_000000142047,train,0
629,COCO_train2014_000000142053,train,0
630,COCO_train2014_000000142088,train,0
631,COCO_train2014_000000143151,train,0
632,COCO_train2014_000000143198,valid,0
633,COCO_train2014_000000143306,train,0
634,COCO_train2014_000000143436,train,0
635,COCO_train2014_000000143758,train,0
636,COCO_train2014_000000143811,train,0
637,COCO_train2014_000000143992,train,0
638,COCO_train2014_000000144178,train,0
639,COCO_train2014_000000144503,train,0
640,COCO_train2014_000000145361,train,0
641,COCO_train2014_000000145518,train,0
642,COCO_train2014_000000146224,train,0
643,COCO_train2014_000000146819,train,0
644,COCO_train2014_000000146933,train,0
645,COCO_train2014_000000147328,train,0
646,COCO_train2014_000000147615,test,0
647,COCO_train2014_000000148024,train,0
648,COCO_train2014_000000148772,valid,0
649,COCO_train2014_000000149356,valid,0
650,COCO_train2014_000000149458,train,0
651,COCO_train2014_000000149464,train,0
652,COCO_train2014_000000149577,train,0
653,COCO_train2014_000000149648,test,0
654,COCO_train2014_000000149763,train,0
655,COCO_train2014_000000149878,valid,0
656,COCO_train2014_000000150258,test,0
657,COCO_train2014_000000150283,train,0
658,COCO_train2014_000000150911,train,0
659,COCO_train2014_000000151050,valid,0
660,COCO_train2014_000000151265,valid,0
661,COCO_train2014_000000151282,train,0
662,COCO_train2014_000000151351,train,0
663,COCO_train2014_000000151655,test,0
664,COCO_train2014_000000151709,train,0
665,COCO_train2014_000000151915,train,0
666,COCO_train2014_000000151939,train,0
667,COCO_train2014_000000152526,train,0
668,COCO_train2014_000000152588,train,0
669,COCO_train2014_000000153008,train,0
670,COCO_train2014_000000153128,train,0
671,COCO_train2014_000000153561,train,0
672,COCO_train2014_000000153655,train,0
673,COCO_train2014_000000153754,valid,0
674,COCO_train2014_000000154060,train,0
675,COCO_train2014_000000154518,test,0
676,COCO_train2014_000000154710,train,0
677,COCO_train2014_000000154770,train,0
678,COCO_train2014_000000154885,train,0
679,COCO_train2014_000000155040,train,0
680,COCO_train2014_000000155083,train,0
681,COCO_train2014_000000156026,train,0
682,COCO_train2014_000000156043,train,0
683,COCO_train2014_000000156630,train,0
684,COCO_train2014_000000156963,train,0
685,COCO_train2014_000000157476,train,0
686,COCO_train2014_000000157603,test,0
687,COCO_train2014_000000157920,valid,0
688,COCO_train2014_000000158088,train,0
689,COCO_train2014_000000158140,train,0
690,COCO_train2014_000000158359,train,0
691,COCO_train2014_000000158451,train,0
692,COCO_train2014_000000158747,valid,0
693,COCO_train2014_000000158754,train,0
694,COCO_train2014_000000158899,train,0
695,COCO_train2014_000000158913,train,0
696,COCO_train2014_000000158914,train,0
697,COCO_train2014_000000159128,train,0
698,COCO_train2014_000000159225,valid,0
699,COCO_train2014_000000159585,train,0
700,COCO_train2014_000000159702,valid,0
701,COCO_train2014_000000160291,train,0
702,COCO_train2014_000000160429,train,0
703,COCO_train2014_000000160452,train,0
704,COCO_train2014_000000160823,train,0
705,COCO_train2014_000000161414,train,0
706,COCO_train2014_000000162177,train,0
707,COCO_train2014_000000163114,train,0
708,COCO_train2014_000000163281,train,0
709,COCO_train2014_000000163560,train,0
710,COCO_train2014_000000163729,train,0
711,COCO_train2014_000000164461,valid,0
712,COCO_train2014_000000164694,train,0
713,COCO_train2014_000000164909,test,0
714,COCO_train2014_000000165046,valid,0
715,COCO_train2014_000000165071,valid,0
716,COCO_train2014_000000165077,valid,0
717,COCO_train2014_000000165106,train,0
718,COCO_train2014_000000165388,train,0
719,COCO_train2014_000000165571,valid,0
720,COCO_train2014_000000165916,train,0
721,COCO_train2014_000000166932,test,0
722,COCO_train2014_000000166993,test,0
723,COCO_train2014_000000167229,train,0
724,COCO_train2014_000000167564,train,0
725,COCO_train2014_000000167621,train,0
726,COCO_train2014_000000167680,train,0
727,COCO_train2014_000000167910,train,0
728,COCO_train2014_000000168329,train,0
729,COCO_train2014_000000168338,train,0
730,COCO_train2014_000000168451,train,0
